year,GOFAI,Cognitive_model,Machine_learning,Prerecorded,count_year
2015,44.827586206896555,24.137931034482758,31.03448275862069,0,29
2016,40,20,40,0,15
2017,20,26.666666666666668,53.333333333333336,0,15
2018,50,16.666666666666664,30,3.3333333333333335,30
2019,13.043478260869565,13.043478260869565,65.21739130434783,8.695652173913043,23
2020,55.55555555555556,14.814814814814813,29.629629629629626,0,27
2021,34.48275862068966,31.03448275862069,34.48275862068966,0,29
2022,33.33333333333333,11.11111111111111,55.55555555555556,0,9
